,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blijven Slapen",Snelle,279017,https://open.spotify.com/track/7BRKEcW05hOZMJ3bKOOzQl
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",270296,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,249353,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
4,"MONTERO (Call Me By Your Name)","Lil Nas X",242318,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,Goud,"Suzan & Freek",188705,https://open.spotify.com/track/3aViSiRTiK1e5OqJtUk3MS
6,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",178488,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
7,"Astronaut In The Ocean","Masked Wolf",174484,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
8,BED,"Joel Corry",173753,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
9,"Frans Duits",Donnie,163484,https://open.spotify.com/track/6iSm0u8DL5MqeptlsoeS90
10,"Cover Me In Sunshine",P!nk,163400,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
11,"Your Love (9PM)",ATB,147963,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
12,"Als Ik Je Weer Zie","Thomas Acda",145522,https://open.spotify.com/track/3yraHvsUkmnJjGhOrx1CSg
13,Rasputin,Majestic,143551,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
14,"Hold On","Justin Bieber",140237,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
15,"Leave The Door Open","Bruno Mars",135293,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
16,"Floating Through Space",Sia,127481,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
17,"The Business",Tiësto,126771,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,"WITHOUT YOU","The Kid LAROI",121238,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
19,501,"Bilal Wahib",120795,https://open.spotify.com/track/0Fl4PBfIwC5G1IQAF1luUm
20,"All We Got (feat. KIDDO)","Robin Schulz",111933,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
21,"We're Good","Dua Lipa",110311,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
22,Rise,"Lost Frequencies",109656,https://open.spotify.com/track/7HXBG0W8gFJwHUh5mVF9tf
23,"Nu Wij Niet Meer Praten","Jaap Reesema",108624,https://open.spotify.com/track/13UfB1tm7QYrhtW8FhPYmW
24,"drivers license","Olivia Rodrigo",104971,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
25,"Ven Ven","Rolf Sanchez",99637,https://open.spotify.com/track/3upYG0cy9J2QhyV4GgV37x
26,"No Diggity","Lucas & Steve",98439,https://open.spotify.com/track/32PKQDEaouIIOlNZ5umoR6
