,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",54981,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Disco Arranhado - Funk Remix",Malu,40622,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
3,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",37185,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,"Liberdade (Quando o Grave Bate Forte)",Alok,29811,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
5,Monarquia,"Diogo Piçarra",27886,https://open.spotify.com/track/38EnNqW16JfwQMmKzxX1yc
6,M4,Teto,27531,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
7,Borboletas,"Gama WNTD",27389,https://open.spotify.com/track/1h1JMmAzXR6lWJ7KnJQkU7
8,"Astronaut In The Ocean","Masked Wolf",27353,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
9,"3,14",Gson,26531,https://open.spotify.com/track/1OjAoIz5Gl36rzm9RKEQeG
10,"Leave The Door Open","Bruno Mars",25491,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
11,Arcade,"Duncan Laurence",24783,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
12,Imagina,FRANKIEONTHEGUITAR,22954,https://open.spotify.com/track/2dWbucCC3cVXQWi6JaL7js
13,"Vida Louca","Mc Poze do Rodo",22078,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
14,"WITHOUT YOU","The Kid LAROI",21635,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
15,Tsunami,"Richie Campbell",21491,https://open.spotify.com/track/5TqGewrmzgeb21FYQC7mJZ
16,"Heartbreak Anniversary",Giveon,21473,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
17,"drivers license","Olivia Rodrigo",21229,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
18,"The Business",Tiësto,21135,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,"Levitating (feat. DaBaby)","Dua Lipa",20932,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,20712,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
21,"Goosebumps - Remix","Travis Scott",19412,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
22,"Romance de Cinema",Domingues,18733,https://open.spotify.com/track/0WmSoWksyfhCME62WhkP2U
23,RAPSTAR,"Polo G",18728,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
24,"Blinding Lights","The Weeknd",18311,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
25,DÁKITI,"Bad Bunny",18196,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
26,"Ô Moça","MC Zaquin",18144,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
27,Fica,Domingues,18091,https://open.spotify.com/track/5x2NQmYWyqExdyyXjNIWh3
28,Runaway,AURORA,17723,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
29,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",17668,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
30,"Kiss Me More (feat. SZA)","Doja Cat",17522,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
31,Mds,Kawe,17262,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
32,telepatía,"Kali Uchis",16892,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
33,"Te Amo",Calema,16750,https://open.spotify.com/track/5QU2pHpvyaiTZ0E7cJYlq3
34,inesquecível,"Giulia Be",16602,https://open.spotify.com/track/3bUDPTCStUeLcUgXgvepQh
35,"São Paulo","Yuri NR5",16368,https://open.spotify.com/track/20cn2KYYgyuxXRC3WynYZn
36,"Calling My Phone","Lil Tjay",16347,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
37,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",16298,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
38,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",16021,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
39,"Save Your Tears","The Weeknd",15613,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
