song,date,streams
Levitating (feat. DaBaby) by Dua Lipa,20210401,2876593
Levitating (feat. DaBaby) by Dua Lipa,20210402,2915111
Levitating (feat. DaBaby) by Dua Lipa,20210403,2965788
Levitating (feat. DaBaby) by Dua Lipa,20210404,2683854
Levitating (feat. DaBaby) by Dua Lipa,20210405,2863707
Levitating (feat. DaBaby) by Dua Lipa,20210406,2982183
Levitating (feat. DaBaby) by Dua Lipa,20210407,3012874
Levitating (feat. DaBaby) by Dua Lipa,20210408,3031890
Levitating (feat. DaBaby) by Dua Lipa,20210409,3127674
Levitating (feat. DaBaby) by Dua Lipa,20210410,3092395
Levitating (feat. DaBaby) by Dua Lipa,20210411,2698955
Levitating (feat. DaBaby) by Dua Lipa,20210412,2963786
Levitating (feat. DaBaby) by Dua Lipa,20210413,3062276
Levitating (feat. DaBaby) by Dua Lipa,20210414,3199575
Levitating (feat. DaBaby) by Dua Lipa,20210415,3468047
Levitating (feat. DaBaby) by Dua Lipa,20210416,3749182
Levitating (feat. DaBaby) by Dua Lipa,20210417,3754126
Levitating (feat. DaBaby) by Dua Lipa,20210418,3290538
Levitating (feat. DaBaby) by Dua Lipa,20210419,3508589
Levitating (feat. DaBaby) by Dua Lipa,20210420,3591591
Levitating (feat. DaBaby) by Dua Lipa,20210421,3623856
Levitating (feat. DaBaby) by Dua Lipa,20210422,3705009
Levitating (feat. DaBaby) by Dua Lipa,20210423,4012448
Levitating (feat. DaBaby) by Dua Lipa,20210424,4104596
Levitating (feat. DaBaby) by Dua Lipa,20210425,3547865
Levitating (feat. DaBaby) by Dua Lipa,20210426,3748854
Levitating (feat. DaBaby) by Dua Lipa,20210427,3832671
Levitating (feat. DaBaby) by Dua Lipa,20210428,3856278
Levitating (feat. DaBaby) by Dua Lipa,20210429,3882338
Levitating (feat. DaBaby) by Dua Lipa,20210430,4371133
